Year,Rent
2007Q4,1359.35
2008Q1,1349.44
2008Q2,1348.86
2008Q3,1325.27
2008Q4,1298.74
2009Q1,1262.2
2009Q2,1221.37
2009Q3,1181.53
2009Q4,1127.15
2010Q1,1089.02
2010Q2,1065.19
2010Q3,1054.14
2010Q4,1031.61
2011Q1,1027.02
2011Q2,1031.8
2011Q3,1040.48
2011Q4,1032.33
2012Q1,1033.07
2012Q2,1036.69
2012Q3,1048.27
2012Q4,1046.76
2013Q1,1049.4
2013Q2,1059.6
2013Q3,1074.46
2013Q4,1077.84
2014Q1,1090.71
2014Q2,1109.54
2014Q3,1134.98
2014Q4,1154.01
2015Q1,1174.66
2015Q2,1197.24
2015Q3,1233.08
2015Q4,1247.68
2016Q1,1261.82
2016Q2,1285.21
2016Q3,1310.76
2016Q4,1321.97
2017Q1,1348.04
2017Q2,1377.59
2017Q3,1398.95
2017Q4,1421.78
